timestamp,open,high,low,close,volume
2025-02-03 09:00:00+00:00,720.47,720.47,720.47,720.47,1039
2025-02-03 09:01:00+00:00,720.51,720.51,720.17,720.17,1116
2025-02-03 09:02:00+00:00,721.59,721.59,721.59,721.59,424
2025-02-03 09:03:00+00:00,721.31,721.31,721.31,721.31,1319
2025-02-03 09:04:00+00:00,721.0,721.0,721.0,721.0,1363
2025-02-03 09:05:00+00:00,721.39,721.39,721.39,721.39,291
2025-02-03 09:06:00+00:00,720.68,720.68,720.43,720.43,561
2025-02-03 09:08:00+00:00,720.59,720.6,720.59,720.6,832
2025-02-03 09:09:00+00:00,720.84,720.84,720.57,720.6,1250
2025-02-03 09:10:00+00:00,720.44,720.44,719.91,719.91,1096
2025-02-03 09:11:00+00:00,719.51,719.51,719.31,719.31,703
2025-02-03 09:24:00+00:00,715.5,715.5,715.34,715.34,1062
2025-02-03 09:26:00+00:00,716.51,716.51,716.5,716.5,399
2025-02-03 09:29:00+00:00,715.85,715.91,715.85,715.91,651
2025-02-03 09:30:00+00:00,715.91,715.91,715.91,715.91,659
2025-02-03 09:32:00+00:00,716.41,716.41,716.41,716.41,222
2025-02-03 09:35:00+00:00,716.71,716.85,716.71,716.85,695
2025-02-03 09:36:00+00:00,716.97,717.14,716.97,717.03,623
2025-02-03 09:37:00+00:00,717.03,717.15,717.03,717.15,591
2025-02-03 09:38:00+00:00,716.48,716.48,716.48,716.48,178
2025-02-03 09:44:00+00:00,716.85,717.1,716.85,717.1,527
2025-02-03 09:48:00+00:00,716.6,716.6,716.6,716.6,116
2025-02-03 09:54:00+00:00,715.16,715.16,715.16,715.16,364
2025-02-03 10:05:00+00:00,715.94,715.94,715.84,715.84,576
2025-02-03 10:06:00+00:00,715.8,715.84,715.8,715.84,1979
2025-02-03 10:26:00+00:00,715.44,715.45,715.44,715.45,567
2025-02-03 10:28:00+00:00,715.68,715.68,715.68,715.68,132
2025-02-03 10:42:00+00:00,719.5,719.5,719.5,719.5,208
2025-02-03 10:47:00+00:00,719.9,719.9,719.9,719.9,117
2025-02-03 11:00:00+00:00,721.47,721.47,721.47,721.47,483
2025-02-03 11:28:00+00:00,720.7,720.7,720.7,720.7,123
2025-02-03 11:35:00+00:00,720.66,720.66,720.66,720.66,101
2025-02-03 11:55:00+00:00,721.8,721.83,721.8,721.83,513
