timestamp,open,high,low,close,volume
2025-02-03 09:02:00+00:00,271.51,271.52,271.5,271.52,590
2025-02-03 09:36:00+00:00,271.2,271.2,271.19,271.19,360
2025-02-03 09:55:00+00:00,270.0,270.0,270.0,270.0,203
2025-02-03 10:09:00+00:00,270.07,270.07,270.07,270.07,125
2025-02-03 10:17:00+00:00,269.97,269.97,269.97,269.97,100
2025-02-03 10:28:00+00:00,270.23,270.23,270.11,270.11,523
2025-02-03 10:41:00+00:00,271.13,271.13,271.13,271.13,275
2025-02-03 11:34:00+00:00,271.48,271.48,271.48,271.48,448
2025-02-03 12:02:00+00:00,272.15,272.15,272.15,272.15,100
2025-02-03 12:13:00+00:00,272.18,272.83,271.97,271.97,600
2025-02-03 12:14:00+00:00,272.79,272.79,272.2,272.2,400
2025-02-03 12:15:00+00:00,272.1,272.1,272.07,272.07,216
2025-02-03 12:16:00+00:00,272.07,272.07,272.06,272.07,1175
2025-02-03 12:17:00+00:00,272.04,272.04,272.04,272.04,100
2025-02-03 12:20:00+00:00,272.82,272.82,272.07,272.13,1150
2025-02-03 12:21:00+00:00,272.31,272.31,272.31,272.31,250
2025-02-03 12:22:00+00:00,272.37,272.37,272.33,272.33,232
2025-02-03 12:27:00+00:00,272.47,272.47,272.47,272.47,200
2025-02-03 12:35:00+00:00,272.07,272.07,272.07,272.07,300
2025-02-03 13:06:00+00:00,272.82,272.82,272.82,272.82,111
2025-02-03 13:17:00+00:00,272.6,272.6,272.6,272.6,200
2025-02-03 14:26:00+00:00,271.79,271.79,271.79,271.79,257
2025-02-03 14:27:00+00:00,271.62,271.62,271.61,271.61,332
2025-02-03 14:28:00+00:00,271.76,271.76,271.76,271.76,428
2025-02-03 14:29:00+00:00,272.14,272.18,272.12,272.18,2624
2025-02-03 14:30:00+00:00,272.22,272.22,271.84,272.16,17068
2025-02-03 14:31:00+00:00,272.08,272.19,272.01,272.16,1399
2025-02-03 14:32:00+00:00,272.33,272.43,272.33,272.43,1739
2025-02-03 14:33:00+00:00,272.51,272.73,272.51,272.6,4591
2025-02-03 14:34:00+00:00,272.59,272.62,272.49,272.62,3033
2025-02-03 14:35:00+00:00,272.68,272.78,272.63,272.75,5275
2025-02-03 14:36:00+00:00,272.64,272.66,272.42,272.55,3835
